34.5625,65.4375
16.1375,83.8625
10.375,89.625
19.675,80.325
10.925,89.075
8.35,91.65
11.025,88.975
6.9375,93.0625
5.975,94.025
5.8125,94.1875
9.175,90.825
5.6,94.4
5.4125,94.5875
6.3375,93.6625
5.8125,94.1875
5.7875,94.2125
5.25,94.75
4.925,95.075
5.775,94.225
5.4125,94.5875
5.675,94.325
4.8875,95.1125
5.1625,94.8375
5.5125,94.4875
4.6875,95.3125
4.6,95.4
4.7625,95.2375
4.7125,95.2875
4.6125,95.3875
4.225,95.775
4.4375,95.5625
4.5125,95.4875
3.925,96.075
4.175,95.825
4.825,95.175
3.8625,96.1375
3.7125,96.2875
4.5625,95.4375
3.8625,96.1375
17.6875,82.3125
4.6625,95.3375
5.575,94.425
4.225,95.775
4.2125,95.7875
5.3875,94.6125
4.175,95.825
3.875,96.125
4.1875,95.8125
4.1375,95.8625
3.775,96.225
3.95,96.05
4.1625,95.8375
4.1875,95.8125
4,96
3.7375,96.2625
3.75,96.25
5.8625,94.1375
4.6375,95.3625
4.2125,95.7875
4.3,95.7
4.125,95.875
4.0375,95.9625
4.3125,95.6875
4.225,95.775
4.1875,95.8125
4.3125,95.6875
4.1,95.9
3.925,96.075
4.1,95.9
4.3125,95.6875
3.875,96.125
4.0625,95.9375
3.9,96.1
